research	research	1	797s
research	research	0	845s
draft	draft	1	1172s
research	research	0	742s
draft	draft	0	1084s
review-subject	review	0	393s
review-fan	review	0	564s
review-critic	review	0	383s
review-unfamiliar	review	0	259s
review-enneagram	review	0	339s
review-future	review	0	323s
edit	edit	0	1432s
verify-edit	verify	0	835s
