research	research	1	656s
research	research	0	1026s
draft	draft	0	1259s
review-subject	review	0	415s
review-fan	review	0	632s
review-critic	review	0	530s
review-unfamiliar	review	0	412s
review-enneagram	review	0	343s
review-future	review	0	325s
edit	edit	0	2294s
verify-edit	verify	0	1318s
repair	edit	0	1215s
verify-repair	verify	0	1191s
