1	create	1	1s
2	fresh_eyes	1	1s
3	second_pass	1	0s
4	cohesion	1	1s
5	editor_pass	1	0s
6	enrich_frontmatter	1	1s
6.5	lint	1	0s
6.6	quality_report	0	0s
6.7	source_audit	1	0s
6.8	same_type_similarity	0	0s
7	grade	1	1s
