research	research	0	1024s
draft	draft	0	1401s
review-subject	review	0	315s
review-fan	review	0	446s
review-critic	review	0	428s
review-unfamiliar	review	0	302s
review-enneagram	review	0	421s
review-future	review	0	295s
edit	edit	0	1762s
verify-edit	verify	0	1009s
repair	edit	0	426s
verify-repair	verify	0	913s
